,mean_freq,stdev,num_rxns,median_freq,core_rxns
4F10,0.789831251369713,0.3797501837621029,3042,1.0,2424
4C11,0.8185171919770774,0.3646688322882127,2792,1.0,2299
E2R20,0.8951738453554748,0.2173234780398063,1927,1.0,1522
F3M06,0.8532346658529143,0.30226143159866214,3277,1.0,2609
B1R15,0.9453598484848484,0.2204239342778342,2816,1.0,2666
6D03,0.8702741067058247,0.2797251122948218,3405,1.0,2741
B3M12,0.7654827315541602,0.38826442409523376,2548,1.0,1980
B1R08,0.7950647249190939,0.3465003838984927,3502,1.0,2623
F2R15,0.7937980241492865,0.3870594358187791,2733,1.0,2177
F1R01,0.8955874086565486,0.24096532302581164,2965,1.0,2465
B2R14,0.6979468599033817,0.3989094477757979,2622,0.95,1635
3D05,0.8786771904062654,0.29271050302337376,2724,1.0,2382
B3M08,0.9999318057828697,0.002383385250041668,2444,1.0,2444
F3M13,0.9998894874982733,0.0038378237572869733,2413,1.0,2413
F1R06,0.9308955223880597,0.24761913509068537,2680,1.0,2497
C2R21,0.8951093487142515,0.25234746354178533,2774,1.0,2282
C1R06,0.9225389863547758,0.18618232438878854,2736,1.0,2316
B3R09,0.9998598851057868,0.004831424443081821,2379,1.0,2379
B3R02_2,0.9998165618448637,0.004670417568980613,2544,1.0,2544
C3M06,0.8319753490401396,0.3505002156032193,3056,1.0,2562
G2M05,0.8823866138265082,0.25984492272332904,3028,1.0,2470
E2M05,0.8268385140257772,0.3103227930888299,2638,1.0,1931
YB2,0.8371517185275574,0.3388785708079198,3278,1.0,2761
E2M18,1.0,0.0,2700,1.0,2700
6E01,0.8863995142683668,0.23802679727722614,3294,1.0,2618
F3R08,0.879340711650601,0.3156789509997002,2801,1.0,2468
6E03,0.8229695687222893,0.3213792262684114,3308,1.0,2483
A3R06,0.898911252354049,0.29462473077675455,2832,1.0,2548
G3M07,0.8203992760999888,0.3407754575764866,2947,1.0,2244
C3R06_2,0.9198704839809135,0.19359212541782986,2445,1.0,2054
G3M13,0.9301784464660603,0.20921034453961782,2858,1.0,2660
G2R10,0.8338877129321642,0.31049703819173413,3307,1.0,2520
A3M03,0.9177840661732696,0.26673373032215064,2297,1.0,2111
A3R12,0.944535311271713,0.22188362862910935,2629,1.0,2487
C2R13,0.7829014084507043,0.3705868142243444,3550,1.0,2663
5F01,0.9994229183841714,0.015733648974119274,2426,1.0,2424
E3M02,0.9010166143836411,0.2858585756726921,2869,1.0,2592
6B07,0.8320392317123008,0.35585494106426174,2447,1.0,2045
F2R02,0.8874635095686021,0.2595831921020124,3083,1.0,2567
C1R06_2,0.9231714812538414,0.2578013231863084,1627,1.0,1503
E3R01,0.9990665308893414,0.022381045032611967,1964,1.0,1960
A2R05,0.78564681724846,0.3822408130799699,2435,1.0,1935
3F01,0.9233969465648856,0.2600638177113446,2620,1.0,2421
F2R05,0.8423080854543595,0.31208399988141167,3261,1.0,2550
13B01,0.839425641025641,0.3176560790998309,3250,1.0,2542
D2M19,0.8442299442299442,0.3112281341834362,3108,1.0,2423
A2R20,0.9998332638599416,0.005773501688297803,2399,1.0,2399
6C06,0.9991464311994113,0.02871849676570195,2265,1.0,2263
G3R17,0.9261759581881533,0.25421086254234065,2296,1.0,2129
3B05,0.8851892285298398,0.3075976944676446,2748,1.0,2439
E3M09,0.7523527420446852,0.3669785093475534,2954,1.0,1982
A1R05,0.9434920044626256,0.22384744769722412,2689,1.0,2541
D2R04,0.9998426323319026,0.004905872683786969,2330,1.0,2330
B2M17,0.8131057732827645,0.3708365587810385,2373,1.0,1938
B2M06,0.8782889615444496,0.314869031688436,2141,1.0,1884
I2M02,0.8476478255717502,0.3399225701871661,2813,1.0,2400
F3R18,0.8821192794002463,0.3112174738691696,2979,1.0,2635
F2M12,0.8671268787137364,0.28230700213291343,2861,1.0,2348
4E07,0.9091154261057174,0.28066046459067195,2781,1.0,2529
C3R19,0.9316062577447336,0.24450146510909898,2152,1.0,2008
G2M07,0.8264838513101768,0.359712160238767,2735,1.0,2273
5G01,0.9998777007745617,0.0042822193095969205,2453,1.0,2453
D3R19,0.7729601248758338,0.3916577653962887,2349,1.0,1833
4H09,0.8813729060451566,0.31232637466404073,2746,1.0,2425
C3R04,0.8656558363417569,0.31609827957402337,2770,1.0,2396
4D10,0.717011897174421,0.3862767910305586,3138,0.9833333333333333,1986
A3M17,0.9999116830683824,0.003209320894697396,2642,1.0,2642
B2M01,0.7615628496829541,0.3926653914689727,2681,1.0,2069
4A09_2,0.884772872680742,0.29153178181217343,2605,1.0,2305
C2R07,0.8023833004602235,0.3581799117705892,3042,1.0,2368
I1M15,0.999876339653751,0.004305972926501398,2426,1.0,2426
D3M17,0.9992052781526467,0.021369694956119654,2223,1.0,2221
B2R14_2,0.8875018187108978,0.3035280353647616,2291,1.0,2041
B3R02,0.9334506607385451,0.2415678858483198,2699,1.0,2524
I2M11,0.8869597701149425,0.29294067148032604,2900,1.0,2577
4B03,0.8961655693733236,0.2941116033388308,2734,1.0,2455
6C01,0.9998228400109022,0.006194268726438106,2446,1.0,2444
C3R10,0.8539507605052848,0.3383595415378929,2586,1.0,2217
F3M07,0.924956334811232,0.18835683344039736,2481,1.0,2112
E3M18,0.9990650044523596,0.022199438612088562,2246,1.0,2244
E2R12,0.8502287805994051,0.3381950991080462,2914,1.0,2492
4B04,0.8013313896987366,0.36499416534646395,3430,1.0,2731
5F06,0.8797708795269771,0.3137608103792336,2255,1.0,1987
I2M16,0.9176167107084433,0.2678975386243952,2649,1.0,2434
B3R18,0.9088598074608905,0.28037288152984663,2216,1.0,2016
F3R11,0.9998611689573788,0.004809247972281654,2401,1.0,2401
I3M17_2,0.9998823702396707,0.002884777663538371,2267,1.0,2267
A2R01,0.7730870953032375,0.359650069708044,3655,1.0,2649
A1R11,0.9382561376866616,0.16671989385937325,2634,1.0,2304
6G02,0.9193445243804955,0.26617837518251825,2502,1.0,2302
C3R17,0.9192846457228342,0.26469649000989864,2451,1.0,2256
A3R16,0.9998751040799333,0.004327422473728534,2402,1.0,2402
G2R14,0.999400986610289,0.01934565331243801,2838,1.0,2836
C2R02,0.8809461152882205,0.2756070768537415,2660,1.0,2134
A1R12,0.7452122673094952,0.4055821428308773,2489,0.9833333333333333,1874
I2R16,0.9990780754825699,0.028129890264523803,2314,1.0,2312
B3M18,0.999821453097102,0.004709688955704032,2427,1.0,2427
C2R07_2,0.7525612822124449,0.3942764226337769,3182,1.0,2427
C2M19,0.8816098209966134,0.25620107832066613,2756,1.0,2228
G2R13,0.8003465235859601,0.3716048877536894,2982,1.0,2411
G3M19,0.888519063381145,0.303053973496155,2719,1.0,2424
C3M10,0.904358047016275,0.2839066494477058,2765,1.0,2507
E3R18,0.7759212427745664,0.3578056607653529,2768,1.0,1944
B3M10,0.5998272357723577,0.40166895052207874,3280,0.7166666666666667,1573
B1R10,0.9066459341165629,0.28079299346895803,2894,1.0,2630
F2M13,0.9099760373313154,0.2762748827669579,2643,1.0,2409
B3M02,0.9990961380443715,0.027560131200168408,2434,1.0,2432
B2R09,0.9129848658272924,0.27482955899413075,2621,1.0,2396
B2R08,0.9389341941329709,0.16352310875369128,2943,1.0,2580
C2R11,0.999938612645795,0.0022613553353106573,2715,1.0,2715
I3R07,0.8799057714958775,0.31568334574243273,2830,1.0,2492
C3M08,0.9274321266968325,0.20761431966844346,2652,1.0,2275
C1R08,0.9995507246376811,0.009329204691579706,2300,1.0,2298
E3R11,0.7572973244819956,0.3557126414569764,3314,1.0,2218
G2R07,0.999090909090909,0.024734594899328596,1870,1.0,1868
A2M03,0.9990395213352228,0.02296932655119947,2117,1.0,2115
12B01,0.8750693555271022,0.27615261800282076,3124,1.0,2549
D3R04,0.8812763200518302,0.31017147187222366,3087,1.0,2730
F1R02,0.8684790462427745,0.2880283195388402,2768,1.0,2177
A2R07,0.776361585562359,0.3773046335143739,3103,1.0,2448
3C02,0.8665091367359798,0.2690752458708267,3174,1.0,2478
I3M08,0.9210025542784164,0.21657164822443342,2610,1.0,2415
C2R09,0.7963958060288336,0.37801090734074017,3052,1.0,2448
B3M03,0.9997915852546568,0.00621411462919072,2559,1.0,2557
E2M01,0.9318265421618562,0.2447215207027632,2356,1.0,2199
