Genome,Compound_name,growth_rate,Compound,Metabolite,Higher.Level.Classification,ex_agree,vit_grow,vit_gr_rate,vit_agree,single_agreement,agreement,agreement_status
12B01,3m2-oxybutyrate,0,EX_3mob_e,3-Methyl-2-oxobutanoate,Carboxylic Acid,0,0,0,0,0,0,org_agree
12B01,acetate,1.898886618,EX_ac_e,Acetate,Carboxylic Acid,0,0,0,-1,-1,-1,false_neg
12B01,galnac,0,EX_acgal_e,N-Acetyl-D-galactosamine,Carbohydrates/Derivatives,0,0,0,0,0,0,org_agree
12B01,glcnac,3.096045582,EX_acgam_e,N-Acetyl-D-glucosamine,Carbohydrates/Derivatives,0,0,0,-1,0,0,single_rescue
12B01,adenine,0,EX_ade_e,Adenine,Nucleobases/Nucleosides/Nucleotides/Derivatives,1,1,10.099742872329488,1,0,0,single_rescue
12B01,oxoglutarate,6.451770418,EX_akg_e,2-Oxoglutarate,Ketones/Aldehydes,0,0,0,-1,-1,-1,false_neg
12B01,alanine,7.994510828,EX_ala__L_e,L-Alanine,Amino Acids/Derivatives,0,0,0,-1,-1,-1,false_neg
12B01,beta-alanine,0,EX_ala_B_e,Beta-Alanine,Amino Acids/Derivatives,0,0,0,0,0,0,org_agree
12B01,arabinose,0,EX_arab__L_e,L-Arabinose,Carbohydrates/Derivatives,0,0,0,0,0,0,org_agree
12B01,arginine,0,EX_arg__L_e,L-Arginine,Amino Acids/Derivatives,1,0,0,0,0,0,org_agree
12B01,asparagine,1.909057159,EX_asn__L_e,L-Asparagine,Amino Acids/Derivatives,0,0,0,-1,-1,-1,false_neg
12B01,aspartate,1.995602271,EX_asp__L_e,L-Aspartate,Amino Acids/Derivatives,0,0,0,-1,-1,-1,false_neg
12B01,butanol,0,EX_btoh_e,Butanol,Alcohol,0,0,0,0,0,0,org_agree
12B01,butyrate,0,EX_but_e,Butyrate (n-C4:0),Phospholipids/Fatty Acids/Triglycerides,1,0,0,0,0,0,org_agree
12B01,benzoate,0,EX_bz_e,Benzoate,Carboxylic Acid,0,0,0,0,0,0,org_agree
12B01,cellobiose,3.003433479,EX_cellb_e,Cellobiose,Carbohydrates/Derivatives,0,1,32.51937891576415,0,0,0,org_agree
12B01,citrate,4.686823012,EX_cit_e,Citrate,Carboxylic Acid,0,0,0,-1,-1,-1,false_neg
12B01,cytosine,0,EX_csn_e,Cytosine,Nucleobases/Nucleosides/Nucleotides/Derivatives,1,0,0,0,0,0,org_agree
12B01,cysteine,1.961661984,EX_cys__L_e,L-Cysteine,Amino Acids/Derivatives,0,0,0,-1,-1,-1,false_neg
12B01,cytidine,4.566931002,EX_cytd_e,Cytidine,Nucleobases/Nucleosides/Nucleotides/Derivatives,0,1,46.11658982786344,0,0,0,org_agree
12B01,deoxyuridine,1.3542673,EX_duri_e,Deoxyuridine,Nucleobases/Nucleosides/Nucleotides/Derivatives,0,1,43.40358818620952,0,0,0,org_agree
12B01,ethanol,0,EX_etoh_e,Ethanol,Alcohol,1,0,0,0,0,0,org_agree
12B01,fructose,4.198539411,EX_fru_e,D-Fructose,Carbohydrates/Derivatives,0,1,32.51937891576422,0,0,0,org_agree
12B01,fucose,0,EX_fuc__L_e,L-Fucose,Carbohydrates/Derivatives,0,0,0,0,0,0,org_agree
12B01,fumarate,3.966906856,EX_fum_e,Fumarate,Carboxylic Acid,0,0,0,-1,-1,-1,false_neg
12B01,galactose,2.5855978570000002,EX_gal_e,D-Galactose,Carbohydrates/Derivatives,0,1,32.51937891576407,0,0,0,org_agree
12B01,galactosamine,0,EX_galam_e,D Galactosamine C6H13NO5,Carbohydrates/Derivatives,0,0,0,0,0,0,org_agree
12B01,galacturonate,0,EX_galur_e,D-Galacturonate,Carbohydrates/Derivatives,1,0,0,0,0,0,org_agree
12B01,glucosamine,4.723077257,EX_gam_e,D-Glucosamine,Carbohydrates/Derivatives,0,1,32.604200383485384,0,0,0,org_agree
12B01,glucose,5.257096471,EX_glc__D_e,D-Glucose,Carbohydrates/Derivatives,0,1,32.51937891576415,0,0,0,org_agree
12B01,gluconate,4.284763099,EX_glcn_e,D-Gluconate,Carboxylic Acid,0,0,0,-1,-1,-1,false_neg
12B01,glucuronate,0,EX_glcur_e,D-Glucuronate,Carbohydrates/Derivatives,1,0,0,0,0,0,org_agree
12B01,glutamine,2.838121779,EX_gln__L_e,L-Glutamine,Amino Acids/Derivatives,0,0,0,-1,0,0,single_rescue
12B01,glutamate,2.694711494,EX_glu__L_e,L-Glutamate,Amino Acids/Derivatives,0,0,0,-1,0,0,single_rescue
12B01,glycine,2.448703629,EX_gly_e,Glycine,Amino Acids/Derivatives,0,0,0,-1,-1,-1,false_neg
12B01,glycerol,1.858748406,EX_glyc_e,Glycerol,Alcohol,0,1,30.358769924574624,0,0,0,org_agree
12B01,glycolate,0,EX_glyclt_e,Glycolate C2H3O3,Carboxylic Acid,1,0,0,0,0,0,org_agree
12B01,glycogen,2.923705748,EX_glycogen_e,Glycogen C6H10O5,Carbohydrates/Derivatives,-1,0,0,-1,-1,-1,no_ex
