db,sampling date,Time,sra_acc,depth,lat,lon,sal,temp,Region,Paper link
NCBI,12/6/18,,SRR11803377,1.12,38.89,-76.54,3.16,6.14,Chesapeake Bay,https://www.nature.com/articles/s41564-021-00873-4#Abs1
NCBI,8/2/18,,SRR11803378,1.04,38.89,-76.54,4.58,28.34,Chesapeake Bay,https://www.nature.com/articles/s41564-021-00873-4#Abs1
NCBI,6/28/18,,SRR11803379,0.66,38.89,-76.54,6.52,25.86,Chesapeake Bay,https://www.nature.com/articles/s41564-021-00873-4#Abs1
NCBI,5/31/18,,SRR11803380,1.01,38.89,-76.54,5.3,25.37,Chesapeake Bay,https://www.nature.com/articles/s41564-021-00873-4#Abs1
NCBI,5/19/17,17:30:00,SRR11803503,0.83,38.89,-76.54,5.98,22.76,Chesapeake Bay,https://www.nature.com/articles/s41564-021-00873-4#Abs1
NCBI,5/19/17,16:00:00,SRR11803495,0.84,38.89,-76.54,5.97,23.19,Chesapeake Bay,https://www.nature.com/articles/s41564-021-00873-4#Abs1
NCBI,5/19/17,14:30:00,SRR11803496,0.86,38.89,-76.54,5.97,22.21,Chesapeake Bay,https://www.nature.com/articles/s41564-021-00873-4#Abs1
NCBI,5/18/17,20:30:00,SRR11803497,0.83,38.89,-76.54,5.86,24.07,Chesapeake Bay,https://www.nature.com/articles/s41564-021-00873-4#Abs1
NCBI,5/18/17,19:00:00,SRR11803498,0.84,38.89,-76.54,5.88,23.39,Chesapeake Bay,https://www.nature.com/articles/s41564-021-00873-4#Abs1
NCBI,5/18/17,17:30:00,SRR11803499,0.85,38.89,-76.54,5.99,22.21,Chesapeake Bay,https://www.nature.com/articles/s41564-021-00873-4#Abs1
NCBI,5/18/17,16:00:00,SRR11803500,0.86,38.89,-76.54,5.99,22.06,Chesapeake Bay,https://www.nature.com/articles/s41564-021-00873-4#Abs1
NCBI,5/18/17,14:30:00,SRR11803501,0.88,38.89,-76.54,6.02,19.75,Chesapeake Bay,https://www.nature.com/articles/s41564-021-00873-4#Abs1
NCBI,5/17/17,20:30:00,SRR11803502,0.88,38.89,-76.54,5.92,20.47,Chesapeake Bay,https://www.nature.com/articles/s41564-021-00873-4#Abs1
NCBI,5/17/17,19:00:00,SRR11803504,0.88,38.89,-76.54,5.76,20.24,Chesapeake Bay,https://www.nature.com/articles/s41564-021-00873-4#Abs1
NCBI,5/17/17,17:30:00,SRR11803505,0.89,38.89,-76.54,5.74,19.81,Chesapeake Bay,https://www.nature.com/articles/s41564-021-00873-4#Abs1
NCBI,9/2/15,,ERR3773636,3,55.4066,14.5356,7.659,17.81,Baltic Sea,https://www.nature.com/articles/s42003-020-0856-x
NCBI,9/2/15,,ERR3773635,2.1,55.9388,14.9345,7.386,17.76,Baltic Sea,https://www.nature.com/articles/s42003-020-0856-x
NCBI,9/1/15,,ERR3773633,1.9,56.5969,16.3242,7.072,18.45,Baltic Sea,https://www.nature.com/articles/s42003-020-0856-x
NCBI,8/31/15,,ERR3773631,2,57.987,16.9491,6.288,17.5,Baltic Sea,https://www.nature.com/articles/s42003-020-0856-x
NCBI,8/30/15,,ERR3773639,2,61.0018,19.0039,5.246,17.58,Baltic Sea,https://www.nature.com/articles/s42003-020-0856-x
NCBI,8/30/15,,ERR3773682,1.8,61.7831,19.2935,5.106,17.08,Baltic Sea,https://www.nature.com/articles/s42003-020-0856-x
NCBI,8/29/15,,ERR3773638,2.3,62.4157,19.4149,5.137,16.92,Baltic Sea,https://www.nature.com/articles/s42003-020-0856-x
NCBI,8/28/15,,ERR3773684,2.3,59.8751,19.3582,5.23,17.41,Baltic Sea,https://www.nature.com/articles/s42003-020-0856-x
NCBI,8/27/15,,ERR3773632,2,60.0652,24.8036,5.45,18.52,Baltic Sea,https://www.nature.com/articles/s42003-020-0856-x
NCBI,8/26/15,,ERR3773634,2,59.495,27.7962,4.248,18.73,Baltic Sea,https://www.nature.com/articles/s42003-020-0856-x
NCBI,8/25/15,,ERR3773637,1.8,59.4921,24.5681,5.863,18.49,Baltic Sea,https://www.nature.com/articles/s42003-020-0856-x
NCBI,8/19/15,,ERR3773796,3.7,54.5687,16.4872,7.802,13.64,Baltic Sea,https://www.nature.com/articles/s42003-020-0856-x
NCBI,8/26/15,,ERR3772663,2.3,59.5906,26.4986,4.431,18.57,Baltic Sea,https://www.nature.com/articles/s42003-020-0856-x
NCBI,8/24/15,,ERR3772662,1.9,57.6815,24.263,5.722,19.14,Baltic Sea,https://www.nature.com/articles/s42003-020-0856-x
NCBI,8/22/15,,ERR3772657,1.9,57.30543167,20.0761,6.973,18.61,Baltic Sea,https://www.nature.com/articles/s42003-020-0856-x
NCBI,8/22/15,,ERR3772658,2.1,57.0614,21.1599,6.858,16.57,Baltic Sea,https://www.nature.com/articles/s42003-020-0856-x
NCBI,2015-08-21,,ERR3772598,2.1,56.3821,20.8346,7.171,18.49,Baltic Sea,https://www.nature.com/articles/s42003-020-0856-x
NCBI,8/20/15,,ERR3772628,1.9,54.5824,18.6289,7.165,20.65,Baltic Sea,https://www.nature.com/articles/s42003-020-0856-x
NCBI,8/19/15,,ERR3772600,1.9,54.75926,17.23787333,7.626,11.67,Baltic Sea,https://www.nature.com/articles/s42003-020-0856-x
NCBI,8/19/15,,ERR3772596,1.9,54.31543,16.11767,8.056,9.63,Baltic Sea,https://www.nature.com/articles/s42003-020-0856-x
NCBI,8/18/15,,ERR3772597,2.7,54.1756,15.1784,7.892,13.46,Baltic Sea,https://www.nature.com/articles/s42003-020-0856-x
NCBI,11/20/14,,ERR3764908,2,56.93844,17.06204,6.38,9.7,Baltic Sea,https://www.nature.com/articles/s42003-020-0856-x
NCBI,8/18/15,,ERR3765014,3,53.95935,14.32207,8.061,20.07,Baltic Sea,https://www.nature.com/articles/s42003-020-0856-x
NCBI,8/18/15,,ERR3765037,2.8,54.4412,13.7264,8.327,18.35,Baltic Sea,https://www.nature.com/articles/s42003-020-0856-x
NCBI,12/16/14,,ERR3764362,2,56.938436,17.06204,7.37,6.2,Baltic Sea,https://www.nature.com/articles/s42003-020-0856-x
NCBI,9/16/14,,ERR3764361,2,56.93844,17.06204,6.82,16.2,Baltic Sea,https://www.nature.com/articles/s42003-020-0856-x
NCBI,8/20/14,,ERR3764907,2,56.93844,17.06204,6.82,11.7,Baltic Sea,https://www.nature.com/articles/s42003-020-0856-x
NCBI,6/4/14,,ERR3764360,2,56.93844,17.06204,6.93,10.6,Baltic Sea,https://www.nature.com/articles/s42003-020-0856-x
NCBI,8/23/15,,ERR3761426,2.2,57.0543,23.8214,5.548,17.03,Baltic Sea,https://www.nature.com/articles/s42003-020-0856-x
NCBI,7/9/14,,ERR3761397,2,56.93844,17.06204,6.71,17.8,Baltic Sea,https://www.nature.com/articles/s42003-020-0856-x
NCBI,4/8/14,,ERR3763022,2,56.93844,17.06204,6.93,4.7,Baltic Sea,https://www.nature.com/articles/s42003-020-0856-x
NCBI,3/12/14,,ERR3763261,2,56.93844,17.06204,7.15,4,Baltic Sea,https://www.nature.com/articles/s42003-020-0856-x
