,mean_freq,stdev,num_rxns,median_freq,core_rxns
TARA_SAMEA2621216_METAG_ENDBMMKJ,0.4841413451689997,0.40321349725435746,2929,0.4,998
TARA_SAMEA2622048_METAG_ENHCJFFL,0.5294081682562974,0.41072383367358445,2726,0.5166666666666667,1088
TARA_SAMEA2622673_METAG_BNMAOIAC,0.5532873011107775,0.4119002059506403,3331,0.5333333333333333,1455
MARD_SAMN08886299_SAGS_MMP08886299,0.5955239064089521,0.4548327180794535,1966,0.9,1191
MARD_SAMN05660971_REFG_MMP05660971,0.9082641509433964,0.28192409185410844,2650,1.0,2409
TARA_SAMEA2623756_METAG_EPAOJDBK,0.3400179533213645,0.3742989131719466,2785,0.13333333333333333,617
TARA_SAMEA2619907_METAG_KCPMAHLE,0.7794243773709385,0.3962171283892103,2021,0.9833333333333333,1584
TARA_SAMEA4398370_METAG_DIKAOHFM,0.46410746522247,0.396222021646311,3139,0.35,1003
TARA_SAMEA2620404_METAG_GAPCBJOG,0.3729569721957924,0.37382369467123683,3153,0.21666666666666667,724
MARD_SAMN02436090_REFG_MMP02436090,0.9039014038524322,0.2859199993547471,2042,1.0,1847
GORG_SAMEA6079884_SAGS_AG430J03,0.6626396098788736,0.44044762441644725,2119,0.9333333333333333,1421
MARD_SAMN04390154_REFG_MMP04390154,0.9990323656990323,0.0207696498375384,1998,1.0,1996
TARA_SAMN05326646_METAG_PSW00007,0.5460475745299678,0.4089313707482102,3209,0.5166666666666667,1387
TARA_SAMEA2619548_METAG_LBPBNLMG,0.5668895313817612,0.41532786905842917,2767,0.65,1225
TARA_SAMEA2623314_METAG_KNPFOLJJ,0.4588517723975891,0.3920190626645323,3263,0.3333333333333333,1042
MARD_SAMN10081109_REFG_MMP10081109,0.9120359739762726,0.19597475616046353,2613,1.0,2150
TARA_SAMEA2622173_METAG_MDCAKINM,0.4884298045189134,0.41613940633467983,2626,0.6,921
MARD_SAMN05216369_REFG_MMP05216369,0.9236133227176221,0.2582602811770128,2512,1.0,2320
GORG_SAMEA6070651_SAGS_AG896O18,0.44840902069817734,0.38691155053413856,3237,0.31666666666666665,985
TARA_SAMEA4397930_METAG_NDLBHLEN,0.9996080436264485,0.012254513005576192,1956,1.0,1954
GORG_SAMEA6073335_SAGS_AG912F23,0.43055255255255254,0.39774127827047284,2775,0.31666666666666665,832
TARA_SAMEA2622673_METAG_EOOHAFPO,0.8960709759188846,0.29669812984230487,2367,1.0,2124
TARA_SAMN05326645_METAG_PSE00026,0.7971694971694973,0.3829019029639501,3003,1.0,2407
MARD_SAMN08886302_SAGS_MMP08886302,0.4757990867579908,0.40609210341653806,2409,0.43333333333333335,804
MARD_SAMD00036602_REFG_MMP00036602,1.0,0.0,2483,1.0,2483
TARA_SAMEA2622710_METAG_FDNKGOGD,0.9989814358468868,0.029930753878981985,2029,1.0,2027
TARA_SAMEA2591098_METAG_OOHHFBGP,0.9987276075673865,0.026451170157670106,1991,1.0,1985
TARA_SAMEA2622219_METAG_FOKHOIFF,0.5409371949235274,0.40532818796149384,3073,0.55,1234
GORG_SAMEA6079566_SAGS_AG426D16,0.39262452107279694,0.3781796868827183,2610,0.26666666666666666,644
GORG_SAMEA6077809_SAGS_AG337B04,0.4157622316661218,0.3821907636205181,3059,0.25,811
MARD_SAMN09725931_REFG_MMP09725931,0.9593089017079517,0.13903318580281795,2947,1.0,2708
MARD_SAMN06644953_REFG_MMP06644953,0.8331514679137438,0.35549184591039806,2566,1.0,2149
TARA_SAMEA4397174_METAG_LMPNIEMG,0.9978824388462942,0.03410638640219143,1826,1.0,1818
TARA_SAMEA2620217_METAG_NAPGDILO,0.7310119811724433,0.3799345160539983,3116,0.9833333333333333,2050
MARD_SAMN08535650_REFG_MMP08535650,0.7965108667190365,0.34063634120917957,2546,1.0,1833
MARD_SAMN08886133_SAGS_MMP08886133,0.6191700610997964,0.4101790204555691,1964,0.8833333333333333,1029
TARA_SAMEA2623446_METAG_GDOAIJJH,0.4411331985624438,0.39655896412021624,2968,0.3,917
TARA_SAMEA4397730_METAG_KKOAPPDK,0.4443035579106737,0.40605745750554634,2642,0.3,840
MARD_SAMN09074945_REFG_MMP09074945,0.9991994177583697,0.025938789355979625,2748,1.0,2746
MARD_SAMN05661223_REFG_MMP05661223,0.8276029373196957,0.3595789600544263,2542,1.0,2113
MARD_SAMN09425405_REFG_MMP09425405,0.999313768433348,0.01902702453409375,2283,1.0,2281
MARD_SAMEA4707921_REFG_MMP4707921,0.6304313415116739,0.41358392295155527,2527,0.8166666666666667,1323
TARA_SAMEA2623155_METAG_KCBLJDMI,0.4496326372776489,0.3908224471796796,3448,0.3,1060
TARA_SAMEA2622149_METAG_EOGDNFIK,0.45409367859862904,0.39111975657448167,2626,0.3333333333333333,799
MARD_SAMN05225367_REFG_MMP05225367,0.9999113138223742,0.0032160203060086798,2631,1.0,2631
TARA_SAMEA2620980_METAG_GLODDDOJ,0.6652832386777342,0.4402928987052458,2289,0.95,1540
GORG_SAMEA6079638_SAGS_AG426J10,0.4800052659294365,0.39772890432052177,3165,0.36666666666666664,1077
GORG_SAMEA6068792_SAGS_AG365L04,0.3730245683930943,0.37620523399037653,3012,0.21666666666666667,697
TARA_SAMEA2622696_METAG_LJCKGMCC,0.8156279677113012,0.3648775446861244,2808,1.0,2307
MALA_SAMN05422138_METAG_ELBMMIEJ,0.48371833500725364,0.40013921422185206,2987,0.36666666666666664,1001
MARD_SAMN06265352_REFG_MMP06265352,0.9998784933171324,0.0042683272487102665,2469,1.0,2469
GORG_SAMEA6067910_SAGS_AH287O09,0.43541006129782284,0.3858733343302939,3154,0.3,884
TARA_SAMEA2622021_METAG_BHOOHFPL,0.5814678146781467,0.44178879119183745,2439,0.8333333333333334,1332
TARA_SAMEA2622801_METAG_CBEJFPFF,0.3382823365785814,0.36786791542009734,2876,0.13333333333333333,592
MARD_SAMN02745165_REFG_MMP02745165,0.9999172048352377,0.002626055566879514,2013,1.0,2013
BGEO_SAMN07136484_METAG_LCIOLPPA,0.4822586090479406,0.4084268782587731,2962,0.35,1040
TARA_SAMEA4397311_METAG_NJFCIEDB,0.711070002349072,0.4052686085552637,2838,0.9666666666666667,1917
TARA_SAMEA2621423_METAG_JEMLBHKJ,0.41018845700824497,0.40410701332327864,2547,0.18333333333333332,708
TARA_SAMEA2623295_METAG_GIBNGEGN,0.7180669000388954,0.4192673510409394,2571,0.9833333333333333,1862
TARA_SAMEA4397586_METAG_MLANKLIE,0.9194595726853794,0.26414068251623307,2387,1.0,2196
MARD_SAMN09708542_REFG_MMP09708542,0.7181485685458443,0.4012390003800376,2643,0.9833333333333333,1802
MARD_SAMN04488116_REFG_MMP04488116,0.7699880668257757,0.39549726676844843,2514,1.0,1955
TARA_SAMN05326647_METAG_ION00006,0.8643713519482568,0.3346904436206006,2113,1.0,1828
GORG_SAMEA6069754_SAGS_AG892J04,0.42554566645475733,0.38339002458394483,3146,0.3,852
MARD_SAMN08295223_REFG_MMP08295223,0.8752369347414027,0.3186727595730749,2462,1.0,2161
TARA_SAMEA4397445_METAG_CHDHEFAE,0.882325051014284,0.310478787973031,2777,1.0,2456
MARD_SAMN09522149_REFG_MMP09522149,1.0,0.0,2382,1.0,2382
TARA_SAMEA4397174_METAG_KNDEEOOG,0.9987564322469983,0.03016751211878895,2332,1.0,2328
