"Genome","dCUB"
"MARD_SAMN05216294_REFG_MMP05216294",-0.224941695155282
"MARD_SAMN10169376_REFG_MMP10169376",-0.0987226501425178
"TARA_SAMEA2622737_METAG_PCAKDJOK",0.0096232074188221
"TARA_SAMEA2622336_METAG_NHKDCMEP",-0.198242081138915
"GORG_SAMEA6069625_SAGS_AG891P06",0.0260195978109676
"MARD_SAMN02436159_REFG_MMP02436159",-0.294576726346495
"MARD_SAMN08457632_REFG_MMP08457632",-0.237408152621283
"MARD_SAMN05216293_REFG_MMP05216293",-0.332630863422082
"TARA_SAMEA2622362_METAG_OBDMGBHA",-0.0654950513192552
"MARD_SAMN04488070_REFG_MMP04488070",-0.345081084268361
"GORG_SAMEA6069051_SAGS_AG359O11",0.0343111251140499
"MARD_SAMN05216258_REFG_MMP05216258",-0.0453512904201038
"TARA_SAMEA4397330_METAG_INBJHHPP",-0.0227552371916114
"MALA_SAMN05422133_METAG_KFHCJPLA",-0.24311005630112
"MARD_SAMN02745824_REFG_MMP02745824",-0.13973823470536
"TARA_SAMEA2622149_METAG_OAHHOPNL",-0.0506856398340359
"TARA_SAMEA4398009_METAG_HHIGBOGA",-0.0174823020270535
"TARA_SAMEA4397023_METAG_FBMOJIEP",-0.220880424663459
"TARA_SAMEA2620194_METAG_MMCFEHNI",-0.197687307612296
"TARA_SAMEA4398370_METAG_ALDNHGAO",-0.105668558236548
"MARD_SAMN09228017_REFG_MMP09228017",-0.194288854898677
"TARA_SAMEA2623446_METAG_EANBFFNL",-0.116941995509792
"MARD_SAMN06299116_REFG_MMP06299116",-0.207511819945565
"MARD_SAMN10250232_REFG_MMP10250232",-0.191234139683305
"TARA_SAMEA2620035_METAG_FDNHICKD",-0.0515640112950304
"MARD_SAMN05687753_REFG_MMP05687753",-0.317948982079097
"MALA_SAMN05421699_METAG_CLHBCOKF",0.0016616803987588
"GORG_SAMEA6069909_SAGS_AG893E23",0.0193124482771043
"MARD_SAMN09522133_REFG_MMP09522133",-0.387275950544785
"TARA_SAMEA4397023_METAG_GPOLAJDG",-0.292386309945662
"TARA_SAMEA4397330_METAG_IIKHBEIA",-0.178963088246384
"MARD_SAMEA2271987_REFG_MMP2271987",-0.194678158700104
"TARA_SAMEA2622801_METAG_JOGKPPEL",-0.146494040290423
"MARD_SAMEA4076716_REFG_MMP4076716",-0.132416418636699
"MARD_SAMN09714579_REFG_MMP09714579",-0.144169869209015
"MARD_SAMN05216264_REFG_MMP05216264",-0.356550118020501
"TARA_SAMEA2622733_METAG_DBAIKBEI",-0.0962271805619272
"MARD_SAMN04488527_REFG_MMP04488527",-0.493484371597498
"MARD_SAMEA2272452_REFG_MMP2272452",-0.202821400505572
"TARA_SAMN05326650_METAG_MED00065",0.0247253156179827
"MARD_SAMN05444714_REFG_MMP05444714",-0.29259047009893
